fdc_id,nombre,calories,carbs,fat,fiber,protein,sugar
167570,"Candies, Confectioner'S Coating, Peanut Butter",529.0,46.88,29.8,5.0,18.3,38.3
167571,"Candies, White Chocolate",539.0,59.24,32.09,0.2,5.87,59.0
167572,"Ice Creams, Vanilla, Light",180.0,29.46,4.83,0.3,4.78,22.12
167573,"Ice Creams, Vanilla, Rich",249.0,22.29,16.2,0.0,3.5,20.65
167574,"Desserts, Flan, Caramel Custard, Prepared-From-Recipe",145.0,22.78,4.03,0.0,4.53,22.78
167575,"Ice Creams, Vanilla",207.0,23.6,11.0,0.7,3.5,21.22
167576,"Ice Creams, Vanilla, Light, Soft-Serve",126.0,21.8,2.6,0.0,4.9,18.69
167577,"Sherbet, Orange",144.0,30.4,2.0,1.3,1.1,24.32
167578,"Candies, Fudge, Peanut Butter, Prepared-From-Recipe",387.0,77.75,6.59,0.7,3.78,73.36
167579,"Candies, Fudge, Vanilla, Prepared-From-Recipe",383.0,82.15,5.45,0.0,1.05,79.77
167580,"Candies, Fudge, Vanilla With Nuts",435.0,74.61,13.69,0.9,3.0,71.0
167581,"Candies, Nestle, Goobers Chocolate Covered Peanuts",512.0,53.0,34.0,9.7,9.7,43.0
167582,"Candies, Nestle, Baby Ruth Bar",475.0,64.8,21.6,2.0,5.4,54.0
167583,"Candies, Twizzlers Strawberry Twists Candy",348.0,79.16,2.32,0.0,2.56,39.64
167584,"Syrups, Table Blends, Pancake, With Butter",291.0,72.43,0.09,0.0,0.0,72.25
167585,"Ice Creams, Chocolate, Light",187.0,25.7,7.19,0.8,5.0,24.71
167586,"Candies, Nestle, Chunky Bar",519.0,60.4,27.5,2.5,7.5,52.5
167587,"Candies, Milk Chocolate",535.0,59.4,29.66,3.4,7.65,51.5
167588,"Puddings, Banana, Dry Mix, Instant, Prepared With 2% Milk",105.0,19.74,1.7,0.0,2.76,0.0
167589,"Puddings, Banana, Dry Mix, Regular, Prepared With 2% Milk",101.0,18.43,1.73,0.0,2.9,0.0
167590,"Andrea'S, Gluten Free Soft Dinner Roll",257.0,40.24,8.2,2.9,5.65,2.98
